date,holiday,moon,arrest,num_crimes,wd
2010-04-10,,0.0,0.39344262295081966,61,Saturday
2010-04-11,,0.0,0.35,60,Sunday
2010-04-12,,0.0,0.3448275862068966,58,Monday
2010-04-13,,0.0,0.4444444444444444,63,Tuesday
2010-04-14,,0.0,0.4868421052631579,76,Wednesday
2010-04-15,,0.0,0.3888888888888889,72,Thursday
2010-04-16,,0.0,0.4027777777777778,72,Friday
2010-04-17,,0.0,0.31746031746031744,63,Saturday
2010-04-18,,0.0,0.4375,48,Sunday
2010-04-19,,0.0,0.3188405797101449,69,Monday
2010-04-20,,0.0,0.5223880597014925,67,Tuesday
2010-04-21,,0.0,0.4507042253521127,71,Wednesday
2010-04-22,,0.0,0.5172413793103449,58,Thursday
2010-04-23,,0.0,0.45714285714285713,70,Friday
2010-04-24,,0.0,0.3684210526315789,57,Saturday
2010-04-25,,0.0,0.2909090909090909,55,Sunday
2010-04-26,,0.0,0.2987012987012987,77,Monday
2010-04-27,,0.0,0.28846153846153844,52,Tuesday
2010-04-28,,1.0,0.44285714285714284,70,Wednesday
2010-04-29,,0.0,0.4057971014492754,69,Thursday
2010-04-30,,0.0,0.4444444444444444,63,Friday
2010-05-01,,0.0,0.20634920634920634,63,Saturday
2010-05-02,,0.0,0.11864406779661017,59,Sunday
2010-05-03,,0.0,0.3333333333333333,63,Monday
2010-05-04,,0.0,0.4788732394366197,71,Tuesday
2010-05-05,,0.0,0.5211267605633803,71,Wednesday
2010-05-06,,0.0,0.4393939393939394,66,Thursday
2010-05-07,,0.0,0.42105263157894735,57,Friday
2010-05-08,,0.0,0.4,40,Saturday
2010-05-09,,0.0,0.4117647058823529,51,Sunday
2010-05-10,,0.0,0.37142857142857144,70,Monday
2010-05-11,,0.0,0.4576271186440678,59,Tuesday
2010-05-12,,0.0,0.3880597014925373,67,Wednesday
2010-05-13,,0.0,0.43548387096774194,62,Thursday
2010-05-14,,0.0,0.4268292682926829,82,Friday
2010-05-15,,0.0,0.35714285714285715,70,Saturday
2010-05-16,,0.0,0.2857142857142857,56,Sunday
2010-05-17,,0.0,0.34328358208955223,67,Monday
2010-05-18,,0.0,0.40625,64,Tuesday
2010-05-19,,0.0,0.352112676056338,71,Wednesday
2010-05-20,,0.0,0.40625,64,Thursday
2010-05-21,,0.0,0.36619718309859156,71,Friday
2010-05-22,,0.0,0.4406779661016949,59,Saturday
2010-05-23,,0.0,0.4,55,Sunday
2010-05-24,,0.0,0.35384615384615387,65,Monday
2010-05-25,,0.0,0.3939393939393939,66,Tuesday
2010-05-26,,0.0,0.4266666666666667,75,Wednesday
2010-05-27,,0.0,0.4,75,Thursday
2010-05-28,,1.0,0.38571428571428573,70,Friday
2010-05-29,,0.0,0.38095238095238093,63,Saturday
2010-05-30,,0.0,0.34375,64,Sunday
2010-05-31,Memorial Day,0.0,0.21739130434782608,46,Monday
2010-06-01,,0.0,0.34615384615384615,78,Tuesday
2010-06-02,,0.0,0.4307692307692308,65,Wednesday
2010-06-03,,0.0,0.3728813559322034,59,Thursday
2010-06-04,,0.0,0.4067796610169492,59,Friday
2010-06-05,,0.0,0.30434782608695654,69,Saturday
2010-06-06,,0.0,0.37777777777777777,45,Sunday
2010-06-07,,0.0,0.390625,64,Monday
2010-06-08,,0.0,0.3283582089552239,67,Tuesday
2010-06-09,,0.0,0.3283582089552239,67,Wednesday
2010-06-10,,0.0,0.3283582089552239,67,Thursday
2010-06-11,,0.0,0.3684210526315789,76,Friday
2010-06-12,,0.0,0.29850746268656714,67,Saturday
2010-06-13,,0.0,0.3488372093023256,43,Sunday
2010-06-14,,0.0,0.31343283582089554,67,Monday
2010-06-15,,0.0,0.35,60,Tuesday
2010-06-16,,0.0,0.36619718309859156,71,Wednesday
2010-06-17,,0.0,0.4647887323943662,71,Thursday
2010-06-18,,0.0,0.35714285714285715,56,Friday
2010-06-19,,0.0,0.2571428571428571,35,Saturday
2010-06-20,,0.0,0.2698412698412698,63,Sunday
2010-06-21,,0.0,0.3770491803278688,61,Monday
2010-06-22,,0.0,0.43137254901960786,51,Tuesday
2010-06-23,,0.0,0.4264705882352941,68,Wednesday
2010-06-24,,0.0,0.36507936507936506,63,Thursday
2010-06-25,,0.0,0.4647887323943662,71,Friday
2010-06-26,,1.0,0.2786885245901639,61,Saturday
2010-06-27,,0.0,0.38461538461538464,65,Sunday
2010-06-28,,0.0,0.4225352112676056,71,Monday
2010-06-29,,0.0,0.36065573770491804,61,Tuesday
2010-06-30,,0.0,0.4090909090909091,66,Wednesday
2010-07-01,,0.0,0.38461538461538464,78,Thursday
2010-07-02,,0.0,0.4305555555555556,72,Friday
2010-07-03,,0.0,0.3958333333333333,48,Saturday
2010-07-04,Independence Day,0.0,0.30952380952380953,42,Sunday
2010-07-05,Independence Day (observed),0.0,0.2857142857142857,70,Monday
2010-07-06,,0.0,0.28169014084507044,71,Tuesday
2010-07-07,,0.0,0.3698630136986301,73,Wednesday
2010-07-08,,0.0,0.5538461538461539,65,Thursday
2010-07-09,,0.0,0.29850746268656714,67,Friday
2010-07-10,,0.0,0.3709677419354839,62,Saturday
2010-07-11,,0.0,0.21875,64,Sunday
2010-07-12,,0.0,0.31666666666666665,60,Monday
2010-07-13,,0.0,0.40540540540540543,74,Tuesday
2010-07-14,,0.0,0.4864864864864865,74,Wednesday
2010-07-15,,0.0,0.4375,64,Thursday
2010-07-16,,0.0,0.4189189189189189,74,Friday
2010-07-17,,0.0,0.3170731707317073,82,Saturday
2010-07-18,,0.0,0.234375,64,Sunday
2010-07-19,,0.0,0.41509433962264153,53,Monday
2010-07-20,,0.0,0.3472222222222222,72,Tuesday
2010-07-21,,0.0,0.31343283582089554,67,Wednesday
2010-07-22,,0.0,0.4507042253521127,71,Thursday
2010-07-23,,0.0,0.288135593220339,59,Friday
2010-07-24,,0.0,0.35185185185185186,54,Saturday
2010-07-25,,0.0,0.39622641509433965,53,Sunday
2010-07-26,,1.0,0.3448275862068966,58,Monday
2010-07-27,,0.0,0.35294117647058826,85,Tuesday
2010-07-28,,0.0,0.42857142857142855,70,Wednesday
2010-07-29,,0.0,0.5396825396825397,63,Thursday
2010-07-30,,0.0,0.410958904109589,73,Friday
2010-07-31,,0.0,0.4264705882352941,68,Saturday
2010-08-01,,0.0,0.3333333333333333,69,Sunday
2010-08-02,,0.0,0.532258064516129,62,Monday
2010-08-03,,0.0,0.4225352112676056,71,Tuesday
2010-08-04,,0.0,0.5294117647058824,68,Wednesday
2010-08-05,,0.0,0.3157894736842105,76,Thursday
2010-08-06,,0.0,0.38961038961038963,77,Friday
2010-08-07,,0.0,0.3333333333333333,69,Saturday
2010-08-08,,0.0,0.38095238095238093,63,Sunday
2010-08-09,,0.0,0.4,70,Monday
2010-08-10,,0.0,0.4714285714285714,70,Tuesday
2010-08-11,,0.0,0.4027777777777778,72,Wednesday
2010-08-12,,0.0,0.37735849056603776,53,Thursday
2010-08-13,,0.0,0.3384615384615385,65,Friday
2010-08-14,,0.0,0.37735849056603776,53,Saturday
2010-08-15,,0.0,0.32608695652173914,46,Sunday
2010-08-16,,0.0,0.36065573770491804,61,Monday
2010-08-17,,0.0,0.4,55,Tuesday
2010-08-18,,0.0,0.5072463768115942,69,Wednesday
2010-08-19,,0.0,0.4857142857142857,70,Thursday
2010-08-20,,0.0,0.4375,64,Friday
2010-08-21,,0.0,0.42857142857142855,70,Saturday
2010-08-22,,0.0,0.32075471698113206,53,Sunday
2010-08-23,,0.0,0.3283582089552239,67,Monday
2010-08-24,,1.0,0.5,60,Tuesday
2010-08-25,,0.0,0.391304347826087,69,Wednesday
2010-08-26,,0.0,0.42857142857142855,77,Thursday
2010-08-27,,0.0,0.46153846153846156,65,Friday
2010-08-28,,0.0,0.35,60,Saturday
2010-08-29,,0.0,0.32,75,Sunday
2010-08-30,,0.0,0.32075471698113206,53,Monday
2010-08-31,,0.0,0.46875,64,Tuesday
2010-09-01,,0.0,0.35714285714285715,84,Wednesday
2010-09-02,,0.0,0.38461538461538464,65,Thursday
2010-09-03,,0.0,0.4067796610169492,59,Friday
2010-09-04,,0.0,0.43137254901960786,51,Saturday
2010-09-05,,0.0,0.3157894736842105,38,Sunday
2010-09-06,Labor Day,0.0,0.34782608695652173,69,Monday
2010-09-07,,0.0,0.3493975903614458,83,Tuesday
2010-09-08,,0.0,0.3709677419354839,62,Wednesday
2010-09-09,,0.0,0.391304347826087,69,Thursday
2010-09-10,,0.0,0.4406779661016949,59,Friday
2010-09-11,,0.0,0.40384615384615385,52,Saturday
2010-09-12,,0.0,0.25,48,Sunday
2010-09-13,,0.0,0.4153846153846154,65,Monday
2010-09-14,,0.0,0.5,54,Tuesday
2010-09-15,,0.0,0.35526315789473684,76,Wednesday
2010-09-16,,0.0,0.2786885245901639,61,Thursday
2010-09-17,,0.0,0.42857142857142855,63,Friday
2010-09-18,,0.0,0.4067796610169492,59,Saturday
2010-09-19,,0.0,0.375,64,Sunday
2010-09-20,,0.0,0.39436619718309857,71,Monday
2010-09-21,,0.0,0.4852941176470588,68,Tuesday
2010-09-22,,0.0,0.4583333333333333,72,Wednesday
2010-09-23,,1.0,0.352112676056338,71,Thursday
2010-09-24,,0.0,0.4230769230769231,78,Friday
2010-09-25,,0.0,0.23170731707317074,82,Saturday
2010-09-26,,0.0,0.38181818181818183,55,Sunday
2010-09-27,,0.0,0.3888888888888889,72,Monday
2010-09-28,,0.0,0.4,65,Tuesday
2010-09-29,,0.0,0.44776119402985076,67,Wednesday
2010-09-30,,0.0,0.36619718309859156,71,Thursday
2010-10-01,,0.0,0.358695652173913,92,Friday
2010-10-02,,0.0,0.42857142857142855,49,Saturday
2010-10-03,,0.0,0.4222222222222222,45,Sunday
2010-10-04,,0.0,0.5,48,Monday
2010-10-05,,0.0,0.4444444444444444,45,Tuesday
2010-10-06,,0.0,0.4305555555555556,72,Wednesday
2010-10-07,,0.0,0.3488372093023256,86,Thursday
2010-10-08,,0.0,0.38461538461538464,52,Friday
2010-10-09,,0.0,0.27450980392156865,51,Saturday
2010-10-10,,0.0,0.26865671641791045,67,Sunday
2010-10-11,Columbus Day,0.0,0.3974358974358974,78,Monday
2010-10-12,,0.0,0.5,66,Tuesday
2010-10-13,,0.0,0.48333333333333334,60,Wednesday
2010-10-14,,0.0,0.3620689655172414,58,Thursday
2010-10-15,,0.0,0.5,68,Friday
2010-10-16,,0.0,0.484375,64,Saturday
2010-10-17,,0.0,0.19148936170212766,47,Sunday
2010-10-18,,0.0,0.4262295081967213,61,Monday
2010-10-19,,0.0,0.43661971830985913,71,Tuesday
2010-10-20,,0.0,0.43548387096774194,62,Wednesday
2010-10-21,,0.0,0.43103448275862066,58,Thursday
2010-10-22,,0.0,0.38461538461538464,52,Friday
2010-10-23,,1.0,0.38461538461538464,52,Saturday
2010-10-24,,0.0,0.34545454545454546,55,Sunday
2010-10-25,,0.0,0.3492063492063492,63,Monday
2010-10-26,,0.0,0.4714285714285714,70,Tuesday
2010-10-27,,0.0,0.352112676056338,71,Wednesday
2010-10-28,,0.0,0.5217391304347826,69,Thursday
2010-10-29,,0.0,0.4067796610169492,59,Friday
2010-10-30,,0.0,0.29411764705882354,51,Saturday
2010-10-31,,0.0,0.28846153846153844,52,Sunday
2010-11-01,,0.0,0.3013698630136986,73,Monday
2010-11-02,,0.0,0.40625,64,Tuesday
2010-11-03,,0.0,0.3870967741935484,62,Wednesday
2010-11-04,,0.0,0.4375,64,Thursday
2010-11-05,,0.0,0.41509433962264153,53,Friday
2010-11-06,,0.0,0.42105263157894735,57,Saturday
2010-11-07,,0.0,0.3829787234042553,47,Sunday
2010-11-08,,0.0,0.3620689655172414,58,Monday
2010-11-09,,0.0,0.3076923076923077,52,Tuesday
2010-11-10,,0.0,0.4189189189189189,74,Wednesday
2010-11-11,Veterans Day,0.0,0.45454545454545453,55,Thursday
2010-11-12,,0.0,0.5087719298245614,57,Friday
2010-11-13,,0.0,0.5081967213114754,61,Saturday
2010-11-14,,0.0,0.36363636363636365,44,Sunday
2010-11-15,,0.0,0.45,60,Monday
2010-11-16,,0.0,0.5434782608695652,46,Tuesday
2010-11-17,,0.0,0.48148148148148145,54,Wednesday
2010-11-18,,0.0,0.43548387096774194,62,Thursday
2010-11-19,,0.0,0.4492753623188406,69,Friday
2010-11-20,,0.0,0.35714285714285715,56,Saturday
2010-11-21,,1.0,0.40476190476190477,42,Sunday
2010-11-22,,0.0,0.5526315789473685,38,Monday
2010-11-23,,0.0,0.4262295081967213,61,Tuesday
2010-11-24,,0.0,0.56,50,Wednesday
2010-11-25,Thanksgiving,0.0,0.35714285714285715,42,Thursday
2010-11-26,,0.0,0.4074074074074074,54,Friday
2010-11-27,,0.0,0.37735849056603776,53,Saturday
2010-11-28,,0.0,0.46511627906976744,43,Sunday
2010-11-29,,0.0,0.37254901960784315,51,Monday
2010-11-30,,0.0,0.425531914893617,47,Tuesday
2010-12-01,,0.0,0.42857142857142855,49,Wednesday
2010-12-02,,0.0,0.4222222222222222,45,Thursday
2010-12-03,,0.0,0.4507042253521127,71,Friday
2010-12-04,,0.0,0.5,52,Saturday
2010-12-05,,0.0,0.3888888888888889,36,Sunday
2010-12-06,,0.0,0.47619047619047616,63,Monday
2010-12-07,,0.0,0.5384615384615384,52,Tuesday
2010-12-08,,0.0,0.425531914893617,47,Wednesday
2010-12-09,,0.0,0.42,50,Thursday
2010-12-10,,0.0,0.3770491803278688,61,Friday
2010-12-11,,0.0,0.30952380952380953,42,Saturday
2010-12-12,,0.0,0.44,50,Sunday
2010-12-13,,0.0,0.4444444444444444,27,Monday
2010-12-14,,0.0,0.5172413793103449,58,Tuesday
2010-12-15,,0.0,0.3870967741935484,62,Wednesday
2010-12-16,,0.0,0.4583333333333333,48,Thursday
2010-12-17,,0.0,0.39285714285714285,56,Friday
2010-12-18,,0.0,0.574468085106383,47,Saturday
2010-12-19,,0.0,0.30952380952380953,42,Sunday
2010-12-20,,0.0,0.42857142857142855,35,Monday
2010-12-21,,1.0,0.4489795918367347,49,Tuesday
2010-12-22,,0.0,0.4642857142857143,56,Wednesday
2010-12-23,,0.0,0.6216216216216216,37,Thursday
2010-12-24,Christmas Day (observed),0.0,0.42105263157894735,38,Friday
2010-12-25,Christmas Day,0.0,0.15789473684210525,38,Saturday
2010-12-26,,0.0,0.28,25,Sunday
2010-12-27,,0.0,0.35,40,Monday
2010-12-28,,0.0,0.4918032786885246,61,Tuesday
2010-12-29,,0.0,0.4339622641509434,53,Wednesday
2010-12-30,,0.0,0.40425531914893614,47,Thursday
2010-12-31,New Year's Day (observed),0.0,0.2708333333333333,48,Friday
2011-01-01,New Year's Day,0.0,0.26136363636363635,88,Saturday
2011-01-02,,0.0,0.42105263157894735,38,Sunday
2011-01-03,,0.0,0.43103448275862066,58,Monday
2011-01-04,,0.0,0.45454545454545453,55,Tuesday
2011-01-05,,0.0,0.3968253968253968,63,Wednesday
2011-01-06,,0.0,0.3793103448275862,58,Thursday
2011-01-07,,0.0,0.36923076923076925,65,Friday
2011-01-08,,0.0,0.46153846153846156,65,Saturday
2011-01-09,,0.0,0.5531914893617021,47,Sunday
2011-01-10,,0.0,0.33962264150943394,53,Monday
2011-01-11,,0.0,0.4666666666666667,60,Tuesday
2011-01-12,,0.0,0.4788732394366197,71,Wednesday
2011-01-13,,0.0,0.49206349206349204,63,Thursday
2011-01-14,,0.0,0.45454545454545453,66,Friday
2011-01-15,,0.0,0.4444444444444444,54,Saturday
2011-01-16,,0.0,0.4634146341463415,41,Sunday
2011-01-17,Martin Luther King Jr. Day,0.0,0.5111111111111111,45,Monday
2011-01-18,,0.0,0.5208333333333334,48,Tuesday
2011-01-19,,1.0,0.46153846153846156,52,Wednesday
2011-01-20,,0.0,0.52,50,Thursday
2011-01-21,,0.0,0.28205128205128205,39,Friday
2011-01-22,,0.0,0.54,50,Saturday
2011-01-23,,0.0,0.35294117647058826,34,Sunday
2011-01-24,,0.0,0.3620689655172414,58,Monday
2011-01-25,,0.0,0.5166666666666667,60,Tuesday
2011-01-26,,0.0,0.4915254237288136,59,Wednesday
2011-01-27,,0.0,0.5970149253731343,67,Thursday
2011-01-28,,0.0,0.47540983606557374,61,Friday
2011-01-29,,0.0,0.56,50,Saturday
2011-01-30,,0.0,0.5208333333333334,48,Sunday
2011-01-31,,0.0,0.5208333333333334,48,Monday
2011-02-01,,0.0,0.41025641025641024,39,Tuesday
2011-02-02,,0.0,0.3125,16,Wednesday
2011-02-03,,0.0,0.4,30,Thursday
2011-02-04,,0.0,0.47368421052631576,38,Friday
2011-02-05,,0.0,0.5128205128205128,39,Saturday
2011-02-06,,0.0,0.42105263157894735,38,Sunday
2011-02-07,,0.0,0.3170731707317073,41,Monday
2011-02-08,,0.0,0.5263157894736842,38,Tuesday
2011-02-09,,0.0,0.5172413793103449,58,Wednesday
2011-02-10,,0.0,0.5555555555555556,54,Thursday
2011-02-11,,0.0,0.6037735849056604,53,Friday
2011-02-12,,0.0,0.43636363636363634,55,Saturday
2011-02-13,,0.0,0.4117647058823529,51,Sunday
2011-02-14,,0.0,0.36,50,Monday
2011-02-15,,0.0,0.515625,64,Tuesday
2011-02-16,,0.0,0.3898305084745763,59,Wednesday
2011-02-17,,0.0,0.4090909090909091,66,Thursday
2011-02-18,,1.0,0.5076923076923077,65,Friday
2011-02-19,,0.0,0.38596491228070173,57,Saturday
2011-02-20,,0.0,0.5161290322580645,31,Sunday
2011-02-21,Washington's Birthday,0.0,0.5111111111111111,45,Monday
2011-02-22,,0.0,0.5,62,Tuesday
2011-02-23,,0.0,0.48,50,Wednesday
2011-02-24,,0.0,0.30158730158730157,63,Thursday
2011-02-25,,0.0,0.4084507042253521,71,Friday
2011-02-26,,0.0,0.46808510638297873,47,Saturday
2011-02-27,,0.0,0.5614035087719298,57,Sunday
2011-02-28,,0.0,0.38,50,Monday
2011-03-01,,0.0,0.375,56,Tuesday
2011-03-02,,0.0,0.45901639344262296,61,Wednesday
2011-03-03,,0.0,0.42857142857142855,63,Thursday
2011-03-04,,0.0,0.3275862068965517,58,Friday
2011-03-05,,0.0,0.4,50,Saturday
2011-03-06,,0.0,0.37209302325581395,43,Sunday
2011-03-07,,0.0,0.5797101449275363,69,Monday
2011-03-08,,0.0,0.5,56,Tuesday
2011-03-09,,0.0,0.54,50,Wednesday
2011-03-10,,0.0,0.42028985507246375,69,Thursday
2011-03-11,,0.0,0.35714285714285715,70,Friday
2011-03-12,,0.0,0.3793103448275862,58,Saturday
2011-03-13,,0.0,0.5208333333333334,48,Sunday
2011-03-14,,0.0,0.5102040816326531,49,Monday
2011-03-15,,0.0,0.44642857142857145,56,Tuesday
2011-03-16,,0.0,0.3614457831325301,83,Wednesday
2011-03-17,,0.0,0.28169014084507044,71,Thursday
2011-03-18,,0.0,0.34782608695652173,69,Friday
2011-03-19,,1.0,0.34545454545454546,55,Saturday
2011-03-20,,0.0,0.2857142857142857,56,Sunday
2011-03-21,,0.0,0.32142857142857145,56,Monday
2011-03-22,,0.0,0.45098039215686275,51,Tuesday
2011-03-23,,0.0,0.5076923076923077,65,Wednesday
2011-03-24,,0.0,0.3508771929824561,57,Thursday
2011-03-25,,0.0,0.4925373134328358,67,Friday
2011-03-26,,0.0,0.4444444444444444,54,Saturday
2011-03-27,,0.0,0.3409090909090909,44,Sunday
2011-03-28,,0.0,0.38,50,Monday
2011-03-29,,0.0,0.5483870967741935,62,Tuesday
2011-03-30,,0.0,0.3793103448275862,58,Wednesday
2011-03-31,,0.0,0.45901639344262296,61,Thursday
2011-04-01,,0.0,0.3137254901960784,51,Friday
2011-04-02,,0.0,0.3181818181818182,66,Saturday
2011-04-03,,0.0,0.4166666666666667,60,Sunday
2011-04-04,,0.0,0.4642857142857143,56,Monday
2011-04-05,,0.0,0.43283582089552236,67,Tuesday
2011-04-06,,0.0,0.49206349206349204,63,Wednesday
2011-04-07,,0.0,0.37254901960784315,51,Thursday
2011-04-08,,0.0,0.38095238095238093,63,Friday
2011-04-09,,0.0,0.5185185185185185,54,Saturday
2011-04-10,,0.0,0.3194444444444444,72,Sunday
2011-04-11,,0.0,0.4264705882352941,68,Monday
2011-04-12,,0.0,0.46153846153846156,65,Tuesday
2011-04-13,,0.0,0.3582089552238806,67,Wednesday
2011-04-14,,0.0,0.6666666666666666,96,Thursday
2011-04-15,,0.0,0.2777777777777778,72,Friday
2011-04-16,,0.0,0.3492063492063492,63,Saturday
2011-04-17,,0.0,0.37037037037037035,54,Sunday
2011-04-18,,1.0,0.5192307692307693,52,Monday
2011-04-19,,0.0,0.28205128205128205,39,Tuesday
2011-04-20,,0.0,0.30158730158730157,63,Wednesday
2011-04-21,,0.0,0.3793103448275862,58,Thursday
2011-04-22,,0.0,0.39285714285714285,56,Friday
2011-04-23,,0.0,0.4090909090909091,66,Saturday
2011-04-24,,0.0,0.32,50,Sunday
2011-04-25,,0.0,0.3275862068965517,58,Monday
2011-04-26,,0.0,0.32142857142857145,56,Tuesday
2011-04-27,,0.0,0.391304347826087,69,Wednesday
2011-04-28,,0.0,0.43283582089552236,67,Thursday
2011-04-29,,0.0,0.43478260869565216,69,Friday
2011-04-30,,0.0,0.36666666666666664,60,Saturday
2011-05-01,,0.0,0.3013698630136986,73,Sunday
2011-05-02,,0.0,0.30434782608695654,46,Monday
2011-05-03,,0.0,0.37349397590361444,83,Tuesday
2011-05-04,,0.0,0.3380281690140845,71,Wednesday
2011-05-05,,0.0,0.4657534246575342,73,Thursday
2011-05-06,,0.0,0.4909090909090909,55,Friday
2011-05-07,,0.0,0.3559322033898305,59,Saturday
2011-05-08,,0.0,0.3409090909090909,44,Sunday
2011-05-09,,0.0,0.47058823529411764,68,Monday
2011-05-10,,0.0,0.32142857142857145,56,Tuesday
2011-05-11,,0.0,0.4107142857142857,56,Wednesday
2011-05-12,,0.0,0.46774193548387094,62,Thursday
2011-05-13,,0.0,0.17333333333333334,75,Friday
2011-05-14,,0.0,0.37735849056603776,53,Saturday
2011-05-15,,0.0,0.3898305084745763,59,Sunday
2011-05-16,,0.0,0.30357142857142855,56,Monday
2011-05-17,,1.0,0.3559322033898305,59,Tuesday
2011-05-18,,0.0,0.6349206349206349,63,Wednesday
2011-05-19,,0.0,0.4264705882352941,68,Thursday
